2021-01-26 at 14:09:04 | INFO | Data Base is ready to use
2021-01-26 at 14:09:05 | INFO | Токен Бота
2021-01-26 at 14:09:05 | INFO | exit from DB
2021-01-26 at 14:09:05 | INFO | TOKEN is ready
2021-01-27 at 08:48:55 | INFO | Data Base is ready to use
2021-01-27 at 08:48:56 | INFO | Токен Бота
2021-01-27 at 08:48:56 | INFO | exit from DB
2021-01-27 at 08:48:56 | INFO | TOKEN is ready
2021-01-27 at 09:26:15 | INFO | Data Base is ready to use
2021-01-27 at 09:26:15 | INFO | Токен Бота
2021-01-27 at 09:26:15 | INFO | exit from DB
2021-01-27 at 09:26:15 | INFO | TOKEN is ready
2021-01-27 at 09:27:17 | INFO | Data Base is ready to use
2021-01-27 at 09:27:18 | INFO | Токен Бота
2021-01-27 at 09:27:18 | INFO | exit from DB
2021-01-27 at 09:27:18 | INFO | TOKEN is ready
2021-01-27 at 09:29:06 | INFO | Data Base is ready to use
2021-01-27 at 09:29:06 | INFO | Токен Бота
2021-01-27 at 09:29:06 | INFO | exit from DB
2021-01-27 at 09:29:06 | INFO | TOKEN is ready
2021-01-27 at 09:35:01 | INFO | Data Base is ready to use
2021-01-27 at 09:35:02 | INFO | Токен Бота
2021-01-27 at 09:35:02 | INFO | exit from DB
2021-01-27 at 09:35:02 | INFO | TOKEN is ready
2021-02-01 at 16:31:34 | INFO | Data Base is ready to use
2021-02-01 at 16:31:35 | INFO | Токен Бота
2021-02-01 at 16:31:35 | INFO | exit from DB
2021-02-01 at 16:31:35 | INFO | TOKEN is ready
2021-02-01 at 16:32:52 | INFO | Data Base is ready to use
2021-02-01 at 16:32:52 | INFO | Токен Бота
2021-02-01 at 16:32:52 | INFO | exit from DB
2021-02-01 at 16:32:52 | INFO | TOKEN is ready
2021-02-09 at 09:08:33 | INFO | Data Base is ready to use
2021-02-09 at 09:08:34 | INFO | Токен Бота
2021-02-09 at 09:08:34 | INFO | exit from DB
2021-02-09 at 09:08:34 | INFO | TOKEN is ready
2021-02-09 at 09:09:37 | INFO | Data Base is ready to use
2021-02-09 at 09:09:38 | INFO | exit from DB
2021-02-09 at 09:19:43 | INFO | Data Base is ready to use
2021-02-09 at 09:19:44 | INFO | Токен Бота
2021-02-09 at 09:19:44 | INFO | exit from DB
2021-02-09 at 09:19:44 | INFO | TOKEN is ready
2021-02-09 at 12:05:15 | INFO | Data Base is ready to use
2021-02-09 at 12:05:16 | INFO | Токен Бота
2021-02-09 at 12:05:16 | INFO | exit from DB
2021-02-09 at 12:05:16 | INFO | TOKEN is ready
2021-02-09 at 12:05:49 | INFO | Data Base is ready to use
2021-02-09 at 12:05:50 | INFO | exit from DB
2021-02-09 at 12:05:52 | INFO | Data Base is ready to use
2021-02-09 at 12:05:53 | INFO | exit from DB
