2021-01-26 at 14:09:09 | INFO | Data Base is ready to use
2021-01-26 at 14:09:09 | INFO | exit from DB
2021-01-26 at 14:09:09 | INFO | [('localhost', 1883, None, None, None)]
2021-01-26 at 14:09:12 | INFO | Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b''
2021-01-26 at 14:09:12 | INFO | Data Base is ready to use
2021-01-26 at 14:09:12 | INFO | Received CONNACK (0, 0)
2021-01-26 at 14:09:12 | INFO | Connection is ready
2021-01-26 at 14:09:13 | INFO | exit from DB
2021-01-26 at 14:09:13 | INFO | Sending PUBLISH (d0, q0, r0, m1), 'b'top_1'', ... (2 bytes)
2021-01-26 at 14:09:13 | INFO | mid: 1
2021-01-26 at 14:09:13 | INFO | Sending PUBLISH (d0, q0, r0, m2), 'b'top_2'', ... (2 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 2
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m3), 'b'top_3'', ... (2 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 3
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m4), 'b'top_4'', ... (2 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 4
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m5), 'b'top_5'', ... (2 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 5
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m6), 'b'top_6'', ... (2 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 6
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m7), 'b'top_7'', ... (6 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 7
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m8), 'b'top_8'', ... (6 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 8
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m9), 'b'top_9'', ... (6 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 9
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m10), 'b'top_10'', ... (8 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 10
2021-01-26 at 14:09:14 | INFO | Sending PUBLISH (d0, q0, r0, m11), 'b'top_11'', ... (6 bytes)
2021-01-26 at 14:09:14 | INFO | mid: 11
