2021-01-26 at 14:09:19 | INFO | Data Base is ready to use
2021-01-26 at 14:09:19 | INFO | exit from DB
2021-01-26 at 14:09:19 | INFO | Polling ON
2021-01-26 at 14:09:19 | DEBUG | Unknown protocol...
2021-01-26 at 14:09:49 | INFO | Polling ON
2021-01-26 at 14:09:49 | DEBUG | Unknown protocol...
2021-01-26 at 14:10:19 | INFO | Polling ON
2021-01-26 at 14:10:19 | DEBUG | Unknown protocol...
2021-01-26 at 14:10:49 | INFO | Polling ON
2021-01-26 at 14:10:50 | DEBUG | Unknown protocol...
2021-01-27 at 08:49:04 | INFO | Data Base is ready to use
2021-01-27 at 08:51:18 | INFO | Data Base is ready to use
2021-01-27 at 08:51:19 | INFO | exit from DB
2021-01-27 at 08:51:19 | INFO | Polling ON
2021-01-27 at 08:52:30 | INFO | Data Base is ready to use
2021-01-27 at 08:52:30 | INFO | exit from DB
2021-01-27 at 08:52:30 | INFO | Polling ON
2021-01-27 at 08:53:10 | INFO | Data Base is ready to use
2021-01-27 at 08:53:10 | INFO | exit from DB
2021-01-27 at 08:53:10 | INFO | Polling ON
2021-01-27 at 08:54:43 | INFO | Data Base is ready to use
2021-01-27 at 08:54:44 | INFO | exit from DB
2021-01-27 at 08:54:44 | INFO | Polling ON
2021-01-27 at 08:55:03 | INFO | Data Base is ready to use
2021-01-27 at 08:55:03 | INFO | exit from DB
2021-01-27 at 08:55:03 | INFO | Polling ON
2021-01-27 at 08:55:03 | INFO | Data Base is ready to use
2021-01-27 at 08:56:18 | INFO | Data Base is ready to use
2021-01-27 at 08:56:19 | INFO | exit from DB
2021-01-27 at 08:56:19 | INFO | Polling ON
2021-01-27 at 08:56:19 | INFO | Data Base is ready to use
2021-01-27 at 08:56:20 | INFO | Done
2021-01-27 at 08:56:20 | INFO | exit from DB
2021-01-27 at 08:56:20 | DEBUG | Fault reading
2021-01-27 at 08:56:20 | INFO | Data Base is ready to use
2021-01-27 at 08:56:21 | INFO | Done
2021-01-27 at 08:56:21 | INFO | exit from DB
2021-01-27 at 08:56:21 | DEBUG | Fault reading
2021-01-27 at 08:56:21 | INFO | Data Base is ready to use
2021-01-27 at 08:56:22 | INFO | Done
2021-01-27 at 08:56:22 | INFO | exit from DB
2021-01-27 at 08:56:22 | DEBUG | Fault reading
2021-01-27 at 08:56:23 | INFO | Data Base is ready to use
2021-01-27 at 08:56:23 | INFO | Done
2021-01-27 at 08:56:24 | INFO | exit from DB
2021-01-27 at 08:56:24 | DEBUG | Fault reading
2021-01-27 at 08:56:24 | INFO | Data Base is ready to use
2021-01-27 at 08:56:25 | INFO | Done
2021-01-27 at 08:56:25 | INFO | exit from DB
2021-01-27 at 08:56:25 | DEBUG | Fault reading
2021-01-27 at 08:56:26 | INFO | Data Base is ready to use
2021-01-27 at 08:56:26 | INFO | Done
2021-01-27 at 08:56:27 | INFO | exit from DB
2021-01-27 at 08:56:27 | DEBUG | Fault reading
2021-01-27 at 08:56:27 | INFO | Disconnected for end of polling this device
2021-01-27 at 08:56:27 | INFO | Polling ON
2021-01-27 at 08:58:55 | INFO | Data Base is ready to use
2021-01-27 at 08:58:56 | INFO | exit from DB
2021-01-27 at 08:58:56 | INFO | Polling ON
2021-01-27 at 08:58:56 | INFO | Data Base is ready to use
2021-01-27 at 08:58:57 | INFO | Done
2021-01-27 at 08:58:57 | INFO | exit from DB
2021-01-27 at 08:58:57 | DEBUG | Fault reading
2021-01-27 at 08:58:57 | INFO | Data Base is ready to use
2021-01-27 at 08:58:58 | INFO | Done
2021-01-27 at 08:58:58 | INFO | exit from DB
2021-01-27 at 08:58:58 | DEBUG | Fault reading
2021-01-27 at 08:58:59 | INFO | Data Base is ready to use
2021-01-27 at 08:59:00 | INFO | Done
2021-01-27 at 08:59:00 | INFO | exit from DB
2021-01-27 at 08:59:00 | DEBUG | Fault reading
2021-01-27 at 08:59:00 | INFO | Data Base is ready to use
2021-01-27 at 08:59:01 | INFO | Done
2021-01-27 at 08:59:01 | INFO | exit from DB
2021-01-27 at 08:59:01 | DEBUG | Fault reading
2021-01-27 at 08:59:01 | INFO | Data Base is ready to use
2021-01-27 at 08:59:02 | INFO | Done
2021-01-27 at 08:59:02 | INFO | exit from DB
2021-01-27 at 08:59:03 | DEBUG | Fault reading
2021-01-27 at 08:59:03 | INFO | Data Base is ready to use
2021-01-27 at 08:59:03 | INFO | Done
2021-01-27 at 08:59:04 | INFO | exit from DB
2021-01-27 at 08:59:04 | DEBUG | Fault reading
2021-01-27 at 08:59:04 | INFO | Disconnected for end of polling this device
2021-01-27 at 08:59:04 | INFO | Polling ON
2021-01-27 at 09:00:32 | INFO | Data Base is ready to use
2021-01-27 at 09:00:33 | INFO | exit from DB
2021-01-27 at 09:00:33 | INFO | Polling ON
2021-01-27 at 09:00:33 | INFO | Data Base is ready to use
2021-01-27 at 09:00:34 | INFO | Done
2021-01-27 at 09:00:34 | INFO | exit from DB
2021-01-27 at 09:00:34 | DEBUG | Fault reading
2021-01-27 at 09:00:34 | INFO | Data Base is ready to use
2021-01-27 at 09:00:35 | INFO | Done
2021-01-27 at 09:00:35 | INFO | exit from DB
2021-01-27 at 09:00:35 | DEBUG | Fault reading
2021-01-27 at 09:00:35 | INFO | Data Base is ready to use
2021-01-27 at 09:00:36 | INFO | Done
2021-01-27 at 09:00:36 | INFO | exit from DB
2021-01-27 at 09:00:36 | DEBUG | Fault reading
2021-01-27 at 09:00:36 | INFO | Data Base is ready to use
2021-01-27 at 09:00:37 | INFO | Done
2021-01-27 at 09:00:37 | INFO | exit from DB
2021-01-27 at 09:00:37 | DEBUG | Fault reading
2021-01-27 at 09:00:37 | INFO | Data Base is ready to use
2021-01-27 at 09:00:38 | INFO | Done
2021-01-27 at 09:00:38 | INFO | exit from DB
2021-01-27 at 09:00:38 | DEBUG | Fault reading
2021-01-27 at 09:00:39 | INFO | Data Base is ready to use
2021-01-27 at 09:00:40 | INFO | Done
2021-01-27 at 09:00:40 | INFO | exit from DB
2021-01-27 at 09:00:40 | DEBUG | Fault reading
2021-01-27 at 09:00:40 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:00:40 | INFO | Polling ON
2021-01-27 at 09:00:41 | INFO | Data Base is ready to use
2021-01-27 at 09:00:41 | INFO | Done
2021-01-27 at 09:00:41 | INFO | exit from DB
2021-01-27 at 09:00:42 | DEBUG | Fault reading
2021-01-27 at 09:00:42 | INFO | Data Base is ready to use
2021-01-27 at 09:00:43 | INFO | Done
2021-01-27 at 09:00:43 | INFO | exit from DB
2021-01-27 at 09:00:43 | DEBUG | Fault reading
2021-01-27 at 09:00:44 | INFO | Data Base is ready to use
2021-01-27 at 09:00:45 | INFO | Done
2021-01-27 at 09:00:45 | INFO | exit from DB
2021-01-27 at 09:00:45 | DEBUG | Fault reading
2021-01-27 at 09:00:46 | INFO | Data Base is ready to use
2021-01-27 at 09:00:47 | INFO | Done
2021-01-27 at 09:00:47 | INFO | exit from DB
2021-01-27 at 09:00:48 | DEBUG | Fault reading
2021-01-27 at 09:00:48 | INFO | Data Base is ready to use
2021-01-27 at 09:00:49 | INFO | Done
2021-01-27 at 09:00:50 | INFO | exit from DB
2021-01-27 at 09:00:50 | DEBUG | Fault reading
2021-01-27 at 09:00:50 | INFO | Data Base is ready to use
2021-01-27 at 09:00:51 | INFO | Done
2021-01-27 at 09:00:52 | INFO | exit from DB
2021-01-27 at 09:00:52 | DEBUG | Fault reading
2021-01-27 at 09:00:52 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:00:52 | INFO | Polling ON
2021-01-27 at 09:00:52 | INFO | Data Base is ready to use
2021-01-27 at 09:00:53 | INFO | Done
2021-01-27 at 09:00:53 | INFO | exit from DB
2021-01-27 at 09:00:54 | DEBUG | Fault reading
2021-01-27 at 09:00:55 | INFO | Data Base is ready to use
2021-01-27 at 09:00:56 | INFO | Done
2021-01-27 at 09:00:56 | INFO | exit from DB
2021-01-27 at 09:00:56 | DEBUG | Fault reading
2021-01-27 at 09:00:56 | INFO | Data Base is ready to use
2021-01-27 at 09:00:57 | INFO | Done
2021-01-27 at 09:00:57 | INFO | exit from DB
2021-01-27 at 09:00:58 | DEBUG | Fault reading
2021-01-27 at 09:00:58 | INFO | Data Base is ready to use
2021-01-27 at 09:00:59 | INFO | Done
2021-01-27 at 09:00:59 | INFO | exit from DB
2021-01-27 at 09:00:59 | DEBUG | Fault reading
2021-01-27 at 09:00:59 | INFO | Data Base is ready to use
2021-01-27 at 09:01:00 | INFO | Done
2021-01-27 at 09:01:00 | INFO | exit from DB
2021-01-27 at 09:01:00 | DEBUG | Fault reading
2021-01-27 at 09:01:00 | INFO | Data Base is ready to use
2021-01-27 at 09:01:01 | INFO | Done
2021-01-27 at 09:01:02 | INFO | exit from DB
2021-01-27 at 09:01:02 | DEBUG | Fault reading
2021-01-27 at 09:01:03 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:01:03 | INFO | Polling ON
2021-01-27 at 09:01:03 | INFO | Data Base is ready to use
2021-01-27 at 09:01:04 | INFO | Done
2021-01-27 at 09:01:05 | INFO | exit from DB
2021-01-27 at 09:01:05 | DEBUG | Fault reading
2021-01-27 at 09:01:06 | INFO | Data Base is ready to use
2021-01-27 at 09:01:07 | INFO | Done
2021-01-27 at 09:01:07 | INFO | exit from DB
2021-01-27 at 09:01:08 | DEBUG | Fault reading
2021-01-27 at 09:01:09 | INFO | Data Base is ready to use
2021-01-27 at 09:01:10 | INFO | Done
2021-01-27 at 09:01:10 | INFO | exit from DB
2021-01-27 at 09:01:11 | DEBUG | Fault reading
